"Name","Country","Club","Year","Queer"
"Raffaella Salmaso","Italy","Milan '82",1991,0
"Maura Furlotti","Italy","Lazio",1991,0
"Silvia Fiorini","Italy","Firenze",1991,0
"Federica D'Astolfo","Italy","Sassari",1991,0
"Carolina Morace","Italy","Milan '82",1991,1
"Feriana Ferraguzzi","Italy","Standard Liège",1991,0
"Adele Marsiletti","Italy","Reggiana",1991,0
"Giorgia Brenzan","Italy","Sassari",1991,0
"Emma Iozzelli","Italy","Reggiana",1991,0
"Elisabetta Bavagnoli","Italy","Milan '82",1991,0
"Anna Mega","Italy","Reggiana",1991,0
"Fabiana Correra","Italy","Turris",1991,0
"Nausica Pedersoli","Italy","Milan '82",1991,0
"Rita Guarino","Italy","Juventus",1991,0
"Ann Chiejine","Nigeria","Flying Angels",1991,0
"Diana Nwaiwu","Nigeria","Kakanfo Babes",1991,0
"Ngozi Ezeocha","Nigeria","Princess Jegede",1991,0
"Adaku Okoroafor","Nigeria","Flying Angels",1991,0
"Omo-Love Branch","Nigeria","Ufuoma Babes",1991,0
"Nkechi Mbilitam","Nigeria","Kakanfo Babes",1991,0
"Chioma Ajunwa","Nigeria","River Mermaids",1991,0
"Rita Nwadike","Nigeria","River Mermaids",1991,0
"Ngozi Eucharia Uche","Nigeria","Ufuoma Babes",1991,0
"Mavis Ogun","Nigeria","Ufuoma Babes",1991,0
"Gift Showemimo","Nigeria","Kakanfo Babes",1991,0
"Florence Omagbemi","Nigeria","Ufuoma Babes",1991,0
"Nkiru Okosieme","Nigeria","S.C. Imo State",1991,0
"Phoebe Ebimiekumo","Nigeria","Ufuoma Babes",1991,0
"Ann Mukoro","Nigeria","Ufuoma Babes",1991,0
"Lydia Koyonda","Nigeria","Ufuoma Babes",1991,0
"Edith Eluma","Nigeria","Princess Jegede",1991,0
"Rachael Yamala","Nigeria","Kakanfo Babes",1991,0
"Meg","Brazil","Vasco da Gama",1995,0
"Valeria","Brazil","Saad EC",1995,0
"Elane","Brazil","Euroexport-SP",1995,0
"Solange","Brazil","Euroexport-BA",1995,0
"Leda Maria","Brazil","Vasco da Gama",1995,0
"Fanta","Brazil","Vasco da Gama",1995,0
"Pretinha","Brazil","Vasco da Gama",1995,0
"Cenira","Brazil","Vasco da Gama",1995,0
"Michael Jackson","Brazil","Saad EC",1995,0
"Sissi","Brazil","Euroexport-SP",1995,0
"Roseli","Brazil","Euroexport-SP",1995,0
"Eliane","Brazil","Saad EC",1995,0
"Nenê","Brazil","Saad EC",1995,0
"Márcia Taffarel","Brazil","?",1995,0
"Nalvinha","Brazil","Saad EC",1995,0
"Formiga","Brazil","Euroexport-BA",1995,1
"Yara","Brazil","Gama",1995,0
"Kátia","Brazil","Vasco da Gama",1995,0
"Suzy","Brazil","Vasco da Gama",1995,0
"Tânia","Brazil","Euroexport-BA",1995,0
"Manuela Goller","Germany","Grün-Weiß Brauweiler",1995,0
"Anouschka Bernhard","Germany","FSV Frankfurt",1995,0
"Birgitt Austermühl","Germany","FSV Frankfurt",1995,0
"Dagmar Pohlmann","Germany","FSV Frankfurt",1995,0
"Ursula Lohn","Germany","TuS Ahrbach",1995,0
"Maren Meinert","Germany","FC Rumeln-Kaldenhausen",1995,0
"Martina Voss","Germany","FC Rumeln-Kaldenhausen",1995,0
"Bettina Wiegmann","Germany","Sportfreunde Siegen",1995,0
"Heidi Mohr","Germany","TuS Ahrbach",1995,0
"Silvia Neid","Germany","TSV Siegen",1995,0
"Patricia Brocker","Germany","TuS Niederkirchen",1995,0
"Katja Kraus","Germany","FSV Frankfurt",1995,1
"Melanie Hoffmann","Germany","FC Rumeln-Kaldenhausen",1995,0
"Sandra Minnert","Germany","FSV Frankfurt",1995,1
"Claudia Klein","Germany","Grün-Weiß Brauweiler",1995,0
"Birgit Prinz","Germany","FSV Frankfurt",1995,0
"Tina Wunderlich","Germany","SG Praunheim",1995,0
"Pia Wunderlich","Germany","SG Praunheim",1995,0
"Sandra Smisek","Germany","FSV Frankfurt",1995,0
"Christine Francke","Germany","TuS Ahrbach",1995,0
"Junko Ozawa","Japan","Tokyo Shidax LSC",1995,0
"Yumi Tomei","Japan","Yomiuri-Seiyu Beleza",1995,0
"Rie Yamaki","Japan","Nikko Securities Dream Ladies",1995,0
"Maki Haneta","Japan","Panasonic Bambina",1995,0
"Ryoko Uno","Japan","Yomiuri-Seiyu Beleza",1995,0
"Kae Nishina","Japan","Prima FC Kunoichi",1995,0
"Homare Sawa","Japan","Yomiuri-Seiyu Beleza",1995,0
"Asako Takakura","Japan","Yomiuri-Seiyu Beleza",1995,0
"Futaba Kioka","Japan","Suzuyo Shimizu FC",1995,0
"Akemi Noda","Japan","Takarazuka Bunnys",1995,0
"Etsuko Handa","Japan","Suzuyo Shimizu FC",1995,0
"Yumi Obe","Japan","Nikko Securities Dream Ladies",1995,0
"Kaori Nagamine","Japan","Suzuyo Shimizu FC",1995,0
"Kaoru Kadohara","Japan","Panasonic Bambina",1995,0
"Tsuru Morimoto","Japan","Nikko Securities Dream Ladies",1995,0
"Nami Otake","Japan","Yomiuri-Seiyu Beleza",1995,0
"Tamaki Uchiyama","Japan","Prima FC Kunoichi",1995,0
"Inesu Emiko Takeoka","Japan","Nikko Securities Dream Ladies",1995,0
"Shiho Onodera","Japan","Yomiuri-Seiyu Beleza",1995,0
"Megumi Sakata","Japan","Prima FC Kunoichi",1995,0
"Elisabeth Leidinge","Sweden","Malmö",1995,0
"Malin Lundgren","Sweden","Malmö",1995,0
"Åsa Jakobsson","Sweden","Gideonsbergs IF",1995,0
"Pia Sundhage","Sweden","Hammarby IF",1995,1
"Kristin Bengtsson","Sweden","Hammarby IF",1995,0
"Anna Pohjanen","Sweden","Sunnanå SK",1995,0
"Lena Videkull","Sweden","Malmö",1995,1
"Susanne Hedberg","Sweden","Gideonsbergs IF",1995,0
"Malin Andersson","Sweden","Alvsjö AIK",1995,0
"Anneli Andelén","Sweden","Öxabäck/Mark IF",1995,1
"Ulrika Kalte","Sweden","Alvsjö AIK",1995,0
"Annelie Nilsson","Sweden","Sunnanå SK",1995,0
"Annika Nessvold","Sweden","Malmö",1995,0
"Åsa Lönnqvist","Sweden","Tyresö FF",1995,0
"Anneli Olsson","Sweden","Hammarby IF",1995,0
"Eva Zeikfalvy","Sweden","Malmö",1995,0
"Malin Flink","Sweden","Gideonsbergs IF",1995,0
"Helen Nilsson","Sweden","Gideonsbergs IF",1995,0
"Anika Bozicevic","Sweden","Malmö",1995,0
"Sofia Johansson","Sweden","Malmö",1995,0
"Wendy Hawthorne","Canada","Surrey Marlins SC",1995,0
"Helen Stoumbos","Canada","Kitchener Spirit",1995,0
"Charmaine Hooper","Canada","Prima FC Kunoichi",1995,0
"Michelle Ring","Canada","Surrey Marlins SC",1995,0
"Andrea Neil","Canada","Coquitlam Strikers",1995,0
"Geri Donnelly","Canada","Coquitlam Strikers",1995,0
"Isabelle Morneau","Canada","FC Brossard",1995,0
