"Name","Country","Club","Year"
"Oksana Shmachkova","Russia","Voronezh",2003
"Tatyana Skotnikova","Russia","Voronezh",2003
"Marina Kolomiets","Russia","Lada Togliatti",2003
"Elena Danilova","Russia","Voronezh",2003
"Anastasia Pustovoitova","Russia","Ryazan",2003
"Elena Denchtchik","Russia","Samara",2003
"Maria Pigaleva","Russia","Nadezhda Noginsk",2003
"Romina Ferro","Argentina","Boca Juniors",2007
"Eva González","Argentina","Boca Juniors",2007
"Valeria Cotelo","Argentina","Boca Juniors",2007
"Gabriela Chávez","Argentina","Independiente",2007
"Carmen Brusca","Argentina","Boca Juniors",2007
"Celeste Barbitta","Argentina","Boca Juniors",2007
"Ludmila Manicler","Argentina","Independiente",2007
"Clarisa Huber","Argentina","Boca Juniors",2007
"Natalia Gatti","Argentina","Boca Juniors",2007
"Emilia Mendieta","Argentina","Unattached",2007
"Rosana Gómez","Argentina","Boca Juniors",2007
"Vanina Correa","Argentina","Renato Cesarini",2007
"Florencia Quiñones","Argentina","San Lorenzo",2007
"Catalina Pérez","Argentina","River Plate",2007
"Florencia Mandrile","Argentina","San Lorenzo",2007
"Andrea Ojeda","Argentina","Boca Juniors",2007
"Fabiana Vallejos","Argentina","Boca Juniors",2007
"Belén Potassa","Argentina","Unattached",2007
"Analía Almeida","Argentina","San Lorenzo",2007
"Mercedes Pereyra","Argentina","River Plate",2007
"Elisabeth Minnig","Argentina","Unattached",2007
"Rachel Brown","England","Everton",2007
"Alex Scott","England","Arsenal",2007
"Casey Stoney","England","Chelsea",2007
"Katie Chapman","England","Arsenal",2007
"Faye White","England","Arsenal",2007
"Mary Phillip","England","Arsenal",2007
"Karen Carney","England","Arsenal",2007
"Fara Williams","England","Everton",2007
"Eniola Aluko","England","Chelsea",2007
"Kelly Smith","England","Arsenal",2007
"Rachel Yankey","England","Arsenal",2007
"Anita Asante","England","Arsenal",2007
"Siobhan Chamberlain","England","Chelsea",2007
"Rachel Unitt","England","Everton",2007
"Sue Smith","England","Leeds United",2007
"Jill Scott","England","Everton",2007
"Jody Handley","England","Everton",2007
"Lianne Sanderson","England","Arsenal",2007
"Vicky Exley","England","Doncaster Rovers Belles",2007
"Lindsay Johnson","England","Everton",2007
"Carly Telford","England","Leeds United",2007
"Nadine Angerer","Germany","FFC Turbine Potsdam",2007
"Kerstin Stegemann","Germany","Wattenscheid 09",2007
"Saskia Bartusiak","Germany","FSV Frankfurt",2007
"Babett Peter","Germany","FFC Turbine Potsdam",2007
"Annike Krahn","Germany","FCR Duisburg",2007
"Linda Bresonik","Germany","Essen-Schoenebeck",2007
"Melanie Behringer","Germany","SC Freiburg",2007
"Sandra Smisek","Germany","FFC Frankfurt",2007
"Birgit Prinz","Germany","FFC Frankfurt",2007
"Renate Lingor","Germany","FFC Frankfurt",2007
"Anja Mittag","Germany","FFC Turbine Potsdam",2007
"Ursula Holl","Germany","SC 07 Bad Neuenahr",2007
"Sandra Minnert","Germany","SC 07 Bad Neuenahr",2007
"Simone Laudehr","Germany","FCR Duisburg",2007
"Sonja Fuss","Germany","FCR Duisburg",2007
"Martina Müller","Germany","VfL Wolfsburg",2007
"Ariane Hingst","Germany","Djurgårdens IF",2007
"Kerstin Garefrekes","Germany","FFC Frankfurt",2007
"Fatmire Bajramaj","Germany","FCR Duisburg",2007
"Petra Wimbersky","Germany","FFC Frankfurt",2007
"Silke Rottenberg","Germany","FFC Frankfurt",2007
"Miho Fukumoto","Japan","Okayama Yunogo Belle",2007
"Hiromi Isozaki","Japan","Tasaki Perule",2007
"Yukari Kinga","Japan","NTV Beleza",2007
"Kyoko Yano","Japan","Kanagawa University",2007
"Miyuki Yanagita","Japan","Urawa Reds Ladies",2007
"Ayumi Hara","Japan","INAC Leonessa",2007
"Tomomi Miyamoto","Japan","IGA FC Kunoichi",2007
"Tomoe Sakai","Japan","NTV Beleza",2007
"Eriko Arakawa","Japan","NTV Beleza",2007
"Homare Sawa","Japan","NTV Beleza",2007
"Mio Otani","Japan","Tasaki Perule",2007
"Nozomi Yamago","Japan","Urawa Reds Ladies",2007
"Kozue Ando","Japan","Urawa Reds Ladies",2007
"Nayuha Toyoda","Japan","NTV Beleza",2007
"Azusa Iwashimizu","Japan","NTV Beleza",2007
"Aya Miyama","Japan","Okayama Yunogo Belle",2007
"Yūki Nagasato","Japan","NTV Beleza",2007
"Shinobu Ohno","Japan","NTV Beleza",2007
"Mizuho Sakaguchi","Japan","Tasaki Perule",2007
"Rumi Utsugi","Japan","NTV Beleza",2007
"Misaki Amano","Japan","Waseda University",2007
"Precious Dede","Nigeria","Delta Queens FC",2007
"Efioanwan Ekpo","Nigeria","Pelican Stars",2007
"Ayisat Yusuf","Nigeria","NiceFutis",2007
"Perpetua Nkwocha","Nigeria","Sunnanå SK",2007
"Onome Ebi","Nigeria","Bayelsa Queens FC",2007
"Gift Otuwe","Nigeria","Bayelsa Queens FC",2007
"Stella Mbachu","Nigeria","Tianjin Teda F.C.",2007
"Ifeanyi Chiejine","Nigeria","Bayelsa Queens FC",2007
"Ogonna Chukwudi","Nigeria","Nasarawa Amazons",2007
"Rita Chikwelu","Nigeria","United Pietarsaari",2007
"Chi-Chi Igbo","Nigeria","Fortuna Hjørring",2007
"Tochukwu Oluehi","Nigeria","Bayelsa Queens FC",2007
"Christie George","Nigeria","Pelican Stars",2007
"Faith Ikidi","Nigeria","Linköpings FC",2007
"Maureen Mmadu","Nigeria","Linköpings FC",2007
"Ulunma Jerome","Nigeria","Rivers Angels",2007
"Yinka Kudaisi","Nigeria","Pelican Stars",2007
"Cynthia Uwak","Nigeria","Falköpings KIK",2007
"Lilian Cole","Nigeria","Delta Queens FC",2007
"Maureen Eke","Nigeria","Delta Queens FC",2007
"Aladi Ayegba","Nigeria","Kokkolan Palloveikot",2007
"Phi Un-hui","North Korea","Amrokgang",2007
"Kim Kyong-hwa","North Korea","25 April",2007
"Om Jong-ran","North Korea","25 April",2007
"Yun Song-mi","North Korea","Pyongyang City",2007
"Song Jong-sun","North Korea","Amrokgang",2007
"Kim Ok-sim","North Korea","Rimyongsu",2007
"Ho Sun-hui","North Korea","Amrokgang",2007
"Kil Son-hui","North Korea","Rimyongsu",2007
"Ri Un-suk","North Korea","25 April",2007
"Ri Kum-suk","North Korea","25 April",2007
"Ho Un-byol","North Korea","25 April",2007
"Ri Un-gyong","North Korea","Rimyongsu",2007
"Jang Yong-ok","North Korea","25 April",2007
"Sonu Kyong-sun","North Korea","25 April",2007
"Kong Hye-ok","North Korea","25 April",2007
"Kim Yong-ae","North Korea","25 April",2007
"Yun Hyon-hi","North Korea","25 April",2007
"Jong Pok-sim","North Korea","25 April",2007
"Hong Myong-gum","North Korea","Amrokgang",2007
"Jon Myong-hui","North Korea","Rimyongsu",2007
"Hedvig Lindahl","Sweden","Linköping FC",2007
"Karolina Westberg","Sweden","Umeå IK",2007
"Stina Segerström","Sweden","KIF Örebro DFF",2007
"Hanna Marklund","Sweden","Sunnanå SK",2007
"Caroline Seger","Sweden","Linköping FC",2007
"Sara Thunebro","Sweden","Djurgårdens IF",2007
"Sara Larsson","Sweden","Linköping FC",2007
"Lotta Schelin","Sweden","Kopparbergs/Göteborg FC",2007
"Therese Lundin","Sweden","Malmö FF",2007
"Hanna Ljungberg","Sweden","Umeå IK",2007
"Victoria Svensson","Sweden","Djurgårdens IF",2007
"Sofia Lundgren","Sweden","AIK",2007
"Frida Östberg","Sweden","Linköping FC",2007
"Sara Johansson","Sweden","Hammarby IF",2007
"Therese Sjögran","Sweden","Malmö FF",2007
"Anna Paulson","Sweden","Umeå IK",2007
"Madelaine Edlund","Sweden","Umeå IK",2007
"Nilla Fischer","Sweden","Malmö FF",2007
"Charlotte Rohlin","Sweden","Linköping FC",2007
"Linda Forsberg","Sweden","Djurgårdens IF",2007
"Kristin Hammarström","Sweden","KIF Örebro DFF",2007
"Briana Scurry","United States","Massachusetts",2007
"Marian Dalmy","United States","Santa Clara",2007
"Christie Rampone","United States","Monmouth",2007
"Cat Whitehill","United States","New Jersey Wildcats",2007
"Lindsay Tarpley","United States","UNC",2007
"Natasha Kai","United States","Hawaii",2007
"Shannon Boxx","United States","Notre Dame",2007
"Tina Ellertson","United States","Washington",2007
"Heather O'Reilly","United States","New Jersey Wildcats",2007
"Aly Wagner","United States","Santa Clara",2007
"Carli Lloyd","United States","Rutgers",2007
"Leslie Osborne","United States","Santa Clara",2007
"Kristine Lilly","United States","UNC",2007
"Stephanie Lopez","United States","University of Portland",2007
"Kate Markgraf","United States","Notre Dame",2007
"Angela Hucles","United States","Virginia",2007
"Lori Chalupny","United States","River Cities Futbol Club",2007
"Hope Solo","United States","Washington",2007
"Marci Jobson","United States","SMU",2007
"Abby Wambach","United States","Florida",2007
"Nicole Barnhart","United States","Stanford",2007
"Melissa Barbieri","Australia","Richmond SC",2007
"Kate McShea","Australia","Queensland Academy of Sport",2007
"Alicia Ferguson","Australia","Queensland Sting",2007
"Dianne Alagich","Australia","NSW Institute of Sport",2007
"Cheryl Salisbury","Australia","NSW Institute of Sport",2007
"Rhian Davies","Australia","NSW Institute of Sport",2007
"Heather Garriock","Australia","Adirondack Lynx",2007
"Caitlin Munoz","Australia","ACT Academy of Sport",2007
"Sarah Walsh","Australia","NSW Institute of Sport",2007
"Joanne Peters","Australia","NSW Institute of Sport",2007
"Lisa De Vanna","Australia","Doncaster Rovers Belles LFC",2007
"Kate Gill","Australia","NSW Institute of Sport",2007
"Thea Slatyer","Australia","NSW Institute of Sport",2007
"Collette McCallum","Australia","Western Waves",2007
"Sally Shipard","Australia","ACT Academy of Sport",2007
"Lauren Colthorpe","Australia","NSW Institute of Sport",2007
"Danielle Small","Australia","NSW Institute of Sport",2007
"Lydia Williams","Australia","ACT Academy of Sport",2007
"Clare Polkinghorne","Australia","Queensland Academy of Sport",2007
"Joanne Burgess","Australia","NSW Institute of Sport",2007
"Emma Wirkus","Australia","South Australian Institute of Sport",2007
"Karina LeBlanc","Canada","New Jersey Wildcats",2007
"Kristina Kiss","Canada","Unattached",2007
"Melanie Booth","Canada","Toronto Lynx",2007
"Robyn Gayle","Canada","Ottawa Fury",2007
"Andrea Neil","Canada","Vancouver Whitecaps",2007
"Tanya Dennis","Canada","Nebraska Cornhuskers",2007
"Rhian Wilkinson","Canada","Ottawa Fury",2007
"Diana Matheson","Canada","Ottawa Fury",2007
"Candace Chapman","Canada","Vancouver Whitecaps",2007
"Martina Franko","Canada","Vancouver Whitecaps",2007
"Randee Hermus","Canada","Vancouver Whitecaps",2007
"Christine Sinclair","Canada","Vancouver Whitecaps",2007
"Amy Walsh","Canada","Laval Comets",2007
"Melissa Tancredi","Canada","Atlanta Silverbacks",2007
"Kara Lang","Canada","Vancouver Whitecaps",2007
"Katie Thorlakson","Canada","Notre Dame Fighting Irish",2007
"Brittany Timko","Canada","Vancouver Whitecaps",2007
"Erin McLeod","Canada","Vancouver Whitecaps",2007
"Sophie Schmidt","Canada","Atlanta Silverbacks",2007
"Taryn Swiatek","Canada","Ottawa Fury",2007
"Jodi-Ann Robinson","Canada","Vancouver Whitecaps",2007
"Gladys Enti","Ghana","Ghatel Ladies",2007
"Aminatu Ibrahim","Ghana","Ghatel Ladies",2007
"Mavis Danso","Ghana","Robert Morris College",2007
"Doreen Awuah","Ghana","Ghatel Ladies",2007
"Patricia Ofori","Ghana","University of Alabama",2007
"Florence Okoe","Ghana","Ghatel Ladies",2007
"Safia Abdul Rahman","Ghana","Ghatel Ladies",2007
"Sheila Okai","Ghana","Ghatel Ladies",2007
"Anita Amenuku","Ghana","Ghatel Ladies",2007
"Adjoa Bayor","Ghana","Ghatel Ladies",2007
"Gloria Foriwa","Ghana","Ghatel Ladies",2007
"Olivia Amoako","Ghana","Ghatel Ladies",2007
"Yaa Avoe","Ghana","Ash Town Ladies",2007
"Rumanatu Tahiru","Ghana","Athleta Ladies",2007
"Lydia Ankrah","Ghana","Post Ladies",2007
"Memunatu Sulemana","Ghana","Post Ladies",2007
"Hamdya Abass","Ghana","Ghatel Ladies",2007
"Anita Amankwa","Ghana","Takoradi Ladies",2007
"Fati Mohammed","Ghana","Robert Morris College",2007
"Belinda Kanda","Ghana","University of Alabama",2007
"Memuna Darku","Ghana","Ghatel Ladies",2007
"Bente Nordby","Norway","Djurgårdens IF Dam",2007
"Ane Stangeland Horpestad","Norway","Klepp",2007
"Gunhild Følstad","Norway","Trondheims-Ørn SK",2007
"Ingvild Stensland","Norway","Kopparbergs/Göteborg FC",2007
"Siri Nordby","Norway","Røa IL",2007
"Camilla Huse","Norway","Kolbotn IL",2007
"Trine Rønning","Norway","Kolbotn IL",2007
"Solveig Gulbrandsen","Norway","Kolbotn IL",2007
"Isabell Herlovsen","Norway","Kolbotn IL",2007
"Melissa Wiik","Norway","Asker SK",2007
"Leni Larsen Kaurin","Norway","Asker SK",2007
"Erika Skarbø","Norway","Arna-Bjørnar",2007
"Christine Colombo Nilsen","Norway","Kolbotn IL",2007
"Guro Knutsen","Norway","Røa IL",2007
"Madeleine Giske","Norway","Arna-Bjørnar",2007
"Ragnhild Gulbrandsen","Norway","Asker SK",2007
"Lene Mykjåland","Norway","Røa IL",2007
"Marie Knutsen","Norway","Røa IL",2007
"Marit Fiane Christensen","Norway","Røa IL",2007
"Lise Klaveness","Norway","Umeå IK",2007
"Lene Storløkken","Norway","Team Strømmen FK",2007
"Andréia","Brazil","Transportes Alcaine",2007
"Elaine","Brazil","Umeå",2007
"Aline","Brazil","CEUNSP Salto",2007
"Tânia","Brazil","Saad",2007
"Renata Costa","Brazil","Botucatu",2007
"Rosana","Brazil","SV Neulengbach",2007
"Daniela","Brazil","Saad",2007
"Formiga","Brazil","Saad",2007
"Maycon","Brazil","Saad",2007
"Marta","Brazil","Umeå",2007
"Cristiane","Brazil","VfL Wolfsburg",2007
"Bárbara","Brazil","Sport Recife",2007
"Mônica","Brazil","Botucatu",2007
"Grazielle","Brazil","Botucatu",2007
"Kátia","Brazil","Lyon",2007
"Simone","Brazil","Lyon",2007
"Daiane","Brazil","Botucatu",2007
"Pretinha","Brazil","Leonessa",2007
"Michele","Brazil","Botucatu",2007
"Ester","Brazil","CEPE-Caxias",2007
"Thaís","Brazil","São Caetano",2007
"Zhang Yanru","China","Jiangsu Shuntian",2007
"Weng Xinzhi","China","Jiangsu Shuntian",2007
"Li Jie","China","Beijing Chengjian",2007
"Wang Kun","China","Hebei Huabei",2007
"Song Xiaoli","China","Jiangsu Shuntian",2007
"Xie Caixia","China","Guangdong Xiongying",2007
"Bi Yan","China","Dalian Shide",2007
"Pan Lina","China","Shanghai Shenhua",2007
"Han Duan","China","Dalian Shide",2007
"Ma Xiaoxu","China","Dalian Shide",2007
"Pu Wei","China","Inter Shanghai",2007
"Qu Feifei","China","Bayi",2007
"Li Dongna","China","Tianjin Teda",2007
"Zhang Ouying","China","Hebei Huabei",2007
"Zhou Gaoping","China","Jiangsu Shuntian",2007
"Liu Yali","China","Hebei Huabei",2007
"Liu Sa","China","Beijing Chenjian",2007
"Han Wenxia","China","Dalian Shide",2007
"Zhang Ying","China","Shanghai Shenhua",2007
"Zhang Tong","China","Beijing Chenjian",2007
"Xu Meishuang","China","Changchun Yatai",2007
"Heidi Johansen","Denmark","Fortuna Hjørring",2007
"Mia Olsen","Denmark","Brøndby IF",2007
"Katrine Pedersen","Denmark","Asker S.K.",2007
"Gitte Andersen","Denmark","Brøndby IF",2007
"Bettina Falk","Denmark","Brøndby IF",2007
"Louise Hansen","Denmark","1. FFC Frankfurt",2007
"Cathrine Paaske Sørensen","Denmark","Brøndby IF",2007
"Julie Rydahl Bukh","Denmark","Brøndby IF",2007
"Maiken Pape","Denmark","Brøndby IF",2007
"Anne Dot Eggers Nielsen","Denmark","Brøndby IF",2007
"Merete Pedersen","Denmark","Odense",2007
"Stine Dimun","Denmark","Brøndby IF",2007
"Johanna Rasmussen","Denmark","Fortuna Hjørring",2007
"Dorte Dalum Jensen","Denmark","Djurgårdens IF Dam",2007
"Mariann Gajhede Knudsen","Denmark","Fortuna Hjørring",2007
"Tine Cederkvist","Denmark","Brøndby IF",2007
"Janne Madsen","Denmark","Fortuna Hjørring",2007
"Christina Ørntoft","Denmark","Skovlunde",2007
"Line Røddik Hansen","Denmark","Brøndby IF",2007
"Camilla Sand Andersen","Denmark","Fortuna Hjørring",2007
"Susanne Graversen","Denmark","Skovbakken IK",2007
"Jenny Bindon","New Zealand","Three Kings United",2007
"Ria Percival","New Zealand","Lynn-Avon United",2007
"Hannah Bromley","New Zealand","Soccerplus Connecticut",2007
"Katie Hoyle","New Zealand","Lynn-Avon United",2007
"Abby Erceg","New Zealand","Western Springs AFC",2007
"Rebecca Smith","New Zealand","Sunnanå SK",2007
"Zoe Thompson","New Zealand","Three Kings United",2007
"Hayley Moorwood","New Zealand","Lynn-Avon United",2007
"Wendi Henderson","New Zealand","Upper Hutt City FC",2007
"Annalie Longo","New Zealand","Three Kings United",2007
"Marlies Oostdam","New Zealand","Eastern Suburbs AFC",2007
"Stephanie Puckrin","New Zealand","Lynn-Avon United",2007
"Ali Riley","New Zealand","Stanford University",2007
"Simone Ferrara","New Zealand","Ajax America",2007
"Maia Jackman","New Zealand","Western Springs AFC",2007
"Emma Humphries","New Zealand","Cocoa Expos",2007
"Rebecca Tegg","New Zealand","Eastern Suburbs AFC",2007
"Priscilla Duncan","New Zealand","Western Springs AFC",2007
"Emily McColl","New Zealand","Cocoa Expos",2007
"Merissa Smith","New Zealand","Three Kings United",2007
"Rachel Howard","New Zealand","TSV Crailsheim",2007
"Karina LeBlanc","Canada","Chicago Red Stars",2011
"Emily Zurrer","Canada","Vancouver Whitecaps",2011
"Kelly Parker","Canada","Atlanta Beat",2011
"Carmelina Moscato","Canada","Unattached",2011
"Robyn Gayle","Canada","Vancouver Whitecaps",2011
"Kaylyn Kyle","Canada","Vancouver Whitecaps",2011
"Rhian Wilkinson","Canada","Lillestrøm SK",2011
"Diana Matheson","Canada","Lillestrøm SK",2011
"Candace Chapman","Canada","Western New York Flash",2011
"Jodi-Ann Robinson","Canada","Vancouver Whitecaps",2011
"Desiree Scott","Canada","Vancouver Whitecaps",2011
"Christine Sinclair","Canada","Western New York Flash",2011
"Sophie Schmidt","Canada","Vancouver Whitecaps",2011
"Melissa Tancredi","Canada","Vancouver Whitecaps",2011
"Christina Julien","Canada","Ottawa Fury",2011
"Jonelle Filigno","Canada","Rutgers University",2011
"Brittany Timko","Canada","Unattached",2011
"Erin McLeod","Canada","Chicago Red Stars",2011
"Chelsea Stewart","Canada","Vancouver Whitecaps",2011
"Marie-Ève Nault","Canada","Ottawa Fury",2011
"Stephanie Labbé","Canada","Piteå IF",2011
"Céline Deville","France","Montpellier",2011
"Wendie Renard","France","Lyon",2011
"Laure Boulleau","France","Paris Saint-Germain",2011
"Laura Georges","France","Lyon",2011
"Ophélie Meilleroux","France","Montpellier",2011
"Sandrine Soubeyrand","France","Juvisy",2011
"Corine Franco","France","Lyon",2011
"Sonia Bompastor","France","Lyon",2011
"Eugénie Le Sommer","France","Lyon",2011
"Camille Abily","France","Lyon",2011
"Laure Lepailleur","France","Paris Saint-Germain",2011
"Élodie Thomis","France","Lyon",2011
"Caroline Pizzala","France","Paris Saint-Germain",2011
"Louisa Nécib","France","Lyon",2011
"Élise Bussaglia","France","Paris Saint-Germain",2011
"Bérangère Sapowicz","France","Paris Saint-Germain",2011
"Gaëtane Thiney","France","Juvisy",2011
"Marie-Laure Delie","France","Montpellier",2011
"Sandrine Brétigny","France","Lyon",2011
"Sabrina Viguier","France","Lyon",2011
"Laëtitia Philippe","France","Montpellier",2011
"Nadine Angerer","Germany","1. FFC Frankfurt",2011
"Bianca Schmidt","Germany","1. FFC Turbine Potsdam",2011
"Saskia Bartusiak","Germany","1. FFC Frankfurt",2011
"Babett Peter","Germany","1. FFC Turbine Potsdam",2011
"Annike Krahn","Germany","FCR 2001 Duisburg",2011
"Simone Laudehr","Germany","FCR 2001 Duisburg",2011
"Melanie Behringer","Germany","1. FFC Frankfurt",2011
"Inka Grings","Germany","FCR 2001 Duisburg",2011
"Birgit Prinz","Germany","1. FFC Frankfurt",2011
"Linda Bresonik","Germany","FCR 2001 Duisburg",2011
"Alexandra Popp","Germany","FCR 2001 Duisburg",2011
"Ursula Holl","Germany","FCR 2001 Duisburg",2011
"Célia Okoyino da Mbabi","Germany","SC 07 Bad Neuenahr",2011
"Kim Kulig","Germany","Hamburger SV",2011
"Verena Faißt","Germany","VfL Wolfsburg",2011
"Martina Müller","Germany","VfL Wolfsburg",2011
"Ariane Hingst","Germany","1. FFC Frankfurt",2011
"Kerstin Garefrekes","Germany","1. FFC Frankfurt",2011
"Fatmire Bajramaj","Germany","1. FFC Turbine Potsdam",2011
"Lena Goeßling","Germany","SC 07 Bad Neuenahr",2011
"Almuth Schult","Germany","Magdeburger FFC",2011
"Precious Dede","Nigeria","Rivers Angels",2011
"Rebecca Kalu","Nigeria","Rivers Angels",2011
"Osinachi Ohale","Nigeria","Delta Queens",2011
"Perpetua Nkwocha","Nigeria","Sunnanå SK",2011
"Onome Ebi","Nigeria","Düvenciler Lisesispor",2011
"Helen Ukaonu","Nigeria","Sunnanå SK",2011
"Stella Mbachu","Nigeria","Rivers Angels",2011
"Ebere Orji","Nigeria","Rivers Angels",2011
"Desire Oparanozie","Nigeria","Delta Queens",2011
"Rita Chikwelu","Nigeria","Umeå IK",2011
"Glory Iroka","Nigeria","Rivers Angels",2011
"Sarah Michael","Nigeria","KIF Örebro DFF",2011
"Ogonna Chukwudi","Nigeria","Umeå IK",2011
"Faith Ikidi","Nigeria","Piteå IF",2011
"Josephine Chukwunonye","Nigeria","Rivers Angels",2011
"Tochukwu Oluehi","Nigeria","Sunshine Queens",2011
"Francisca Ordega","Nigeria","Bayelsa Queens",2011
"Ulunma Jerome","Nigeria","Piteå IF",2011
"Uchechi Sunday","Nigeria","FC Neunkirch",2011
"Amenze Aighewi","Nigeria","Rivers Angels",2011
"Alaba Jonathan","Nigeria","Pelican Stars",2011
"Karen Bardsley","England","Sky Blue FC",2011
"Alex Scott","England","Boston Breakers",2011
"Rachel Unitt","England","Everton L.F.C.",2011
"Jill Scott","England","Everton L.F.C.",2011
"Faye White","England","Arsenal L.F.C.",2011
"Casey Stoney","England","Lincoln Ladies F.C.",2011
"Jessica Clarke","England","Lincoln Ladies F.C.",2011
"Fara Williams","England","Everton L.F.C.",2011
"Ellen White","England","Arsenal L.F.C.",2011
"Kelly Smith","England","Boston Breakers",2011
"Rachel Yankey","England","Arsenal L.F.C.",2011
"Karen Carney","England","Birmingham City L.F.C.",2011
"Rachel Brown","England","Everton L.F.C.",2011
"Eniola Aluko","England","Sky Blue FC",2011
"Sophie Bradley","England","Lincoln Ladies F.C.",2011
"Steph Houghton","England","Arsenal L.F.C.",2011
"Laura Bassett","England","Birmingham City L.F.C.",2011
"Anita Asante","England","Sky Blue FC",2011
"Dunia Susi","England","Birmingham City L.F.C.",2011
"Claire Rafferty","England","Chelsea L.F.C.",2011
"Siobhan Chamberlain","England","Bristol Academy",2011
"Nozomi Yamago","Japan","Urawa Red Diamonds Ladies",2011
"Yukari Kinga","Japan","INAC Kobe Leonessa",2011
"Azusa Iwashimizu","Japan","NTV Beleza",2011
"Saki Kumagai","Japan","Urawa Red Diamonds Ladies",2011
"Kyoko Yano","Japan","Urawa Red Diamonds Ladies",2011
"Mizuho Sakaguchi","Japan","Albirex Niigata Ladies",2011
"Kozue Ando","Japan","FCR 2001 Duisburg",2011
"Aya Miyama","Japan","Okayama Yunogo Belle",2011
"Nahomi Kawasumi","Japan","INAC Kobe Leonessa",2011
"Homare Sawa","Japan","INAC Kobe Leonessa",2011
"Shinobu Ohno","Japan","INAC Kobe Leonessa",2011
"Miho Fukumoto","Japan","Okayama Yunogo Belle",2011
"Rumi Utsugi","Japan","Montpellier HSC",2011
"Megumi Kamionobe","Japan","Albirex Niigata Ladies",2011
"Aya Sameshima","Japan","Boston Breakers",2011
"Asuna Tanaka","Japan","INAC Kobe Leonessa",2011
"Yūki Nagasato","Japan","1. FFC Turbine Potsdam",2011
"Karina Maruyama","Japan","JEF United Chiba Ladies",2011
"Megumi Takase","Japan","INAC Kobe Leonessa",2011
"Mana Iwabuchi","Japan","NTV Beleza",2011
"Ayumi Kaihori","Japan","INAC Kobe Leonessa",2011
"Erika Vanegas","Mexico","Unattached",2011
"Kenti Robles","Mexico","RCD Espanyol",2011
"Marlene Sandoval","Mexico","Unattached",2011
"Alina Garciamendez","Mexico","Stanford University",2011
"Natalie Vinti","Mexico","University of San Diego",2011
"Natalie Garcia","Mexico","University of San Diego",2011
"Evelyn López","Mexico","Unattached",2011
"Lupita Worbis","Mexico","Extremadura Femenino CF",2011
"Maribel Domínguez","Mexico","UE L'Estartit",2011
"Dinora Garza","Mexico","Tigres de la UANL",2011
"Nayeli Rangel","Mexico","Tigres de la UANL",2011
"Pamela Tajonar","Mexico","Club Atlético Málaga",2011
"Liliana Mercado","Mexico","UDLA Puebla",2011
"Mónica Alvarado","Mexico","Texas Christian University",2011
"Luz Saucedo","Mexico","Unattached",2011
"Charlyn Corral","Mexico","Monterrey Royal Eagles",2011
"Teresa Noyola","Mexico","Stanford University",2011
"Verónica Pérez","Mexico","Saint Louis Athletica",2011
"Mónica Ocampo","Mexico","Atlanta Beat",2011
"Cecilia Santiago","Mexico","Santos Laguna",2011
"Stephany Mayor","Mexico","UDLA Puebla",2011
"Jenny Bindon","New Zealand","Hibiscus Coast AFC",2011
"Ria Percival","New Zealand","Lynn-Avon United",2011
"Anna Green","New Zealand","Three Kings United",2011
"Katie Hoyle","New Zealand","Glenfield Rovers",2011
"Abby Erceg","New Zealand","Fencibles United",2011
"Rebecca Smith","New Zealand","VfL Wolfsburg",2011
"Ali Riley","New Zealand","Western New York Flash",2011
"Hayley Moorwood","New Zealand","Chelsea L.F.C.",2011
"Amber Hearn","New Zealand","Lynn-Avon United",2011
"Sarah Gregorius","New Zealand","Eastern Suburbs AFC",2011
"Kirsty Yallop","New Zealand","Lynn-Avon United",2011
"Betsy Hassett","New Zealand","University of California, Berkeley",2011
"Rosie White","New Zealand","Three Kings United",2011
"Sarah McLaughlin","New Zealand","Claudelands Rovers",2011
"Emma Kete","New Zealand","Lincoln Ladies F.C.",2011
"Annalie Longo","New Zealand","Three Kings United",2011
"Hannah Wilkinson","New Zealand","Glenfield Rovers",2011
"Katie Bowen","New Zealand","Glenfield Rovers",2011
"Kristy Hill","New Zealand","Fencibles United",2011
"Aroon Clansey","New Zealand","Three Kings United",2011
"Erin Nayler","New Zealand","Eastern Suburbs AFC",2011
"Yineth Varón","Colombia","Club Deportivo Generaciones Palmiranas",2011
"Yuli Muñoz","Colombia","Club Deportivo Estudiantes F.C.",2011
"Natalia Gaitán","Colombia","University of Toledo",2011
"Diana Ospina","Colombia","Club Deportivo Formas Íntimas",2011
"Nataly Arias","Colombia","University of Maryland",2011
"Daniela Montoya","Colombia","Club Deportivo Formas Íntimas",2011
"Catalina Usme","Colombia","Independiente Medellín",2011
"Andrea Peralta","Colombia","Club Deportivo Estudiantes F.C.",2011
"Carmen Rodallega","Colombia","Sarmiento Lora",2011
"Yoreli Rincón","Colombia","Club Deportivo Gol Star",2011
"Liana Salazar","Colombia","University of Kansas",2011
"Sandra Sepúlveda","Colombia","Club Deportivo Formas Íntimas",2011
"Yulieth Domínguez","Colombia","Club Deportivo Estudiantes F.C.",2011
"Kelis Peduzine","Colombia","Club Deportivo Eba",2011
"Tatiana Ariza","Colombia","Austin Peay State University",2011
"Lady Andrade","Colombia","Club Deportivo Inter de Bogotá",2011
"Ingrid Vidal","Colombia","Club Deportivo Generaciones Palmiranas",2011
"Katerin Castro","Colombia","Club Deportivo Estudiantes F.C.",2011
