"Name","Country","Club","Year"
"Lydia Koyonda","Nigeria","Ufuoma Babes",1991
"Edith Eluma","Nigeria","Princess Jegede",1991
"Rachael Yamala","Nigeria","Kakanfo Babes",1991
"Meg","Brazil","Vasco da Gama",1995
"Valeria","Brazil","Saad EC",1995
"Elane","Brazil","Euroexport-SP",1995
"Solange","Brazil","Euroexport-BA",1995
"Leda Maria","Brazil","Vasco da Gama",1995
"Fanta","Brazil","Vasco da Gama",1995
"Pretinha","Brazil","Vasco da Gama",1995
"Cenira","Brazil","Vasco da Gama",1995
"Michael Jackson","Brazil","Saad EC",1995
"Sissi","Brazil","Euroexport-SP",1995
"Roseli","Brazil","Euroexport-SP",1995
"Eliane","Brazil","Saad EC",1995
"Nenê","Brazil","Saad EC",1995
"Márcia Taffarel","Brazil","?",1995
"Nalvinha","Brazil","Saad EC",1995
"Formiga","Brazil","Euroexport-BA",1995
"Yara","Brazil","Gama",1995
"Kátia","Brazil","Vasco da Gama",1995
"Suzy","Brazil","Vasco da Gama",1995
"Tânia","Brazil","Euroexport-BA",1995
"Manuela Goller","Germany","Grün-Weiß Brauweiler",1995
"Anouschka Bernhard","Germany","FSV Frankfurt",1995
"Birgitt Austermühl","Germany","FSV Frankfurt",1995
"Dagmar Pohlmann","Germany","FSV Frankfurt",1995
"Ursula Lohn","Germany","TuS Ahrbach",1995
"Maren Meinert","Germany","FC Rumeln-Kaldenhausen",1995
"Martina Voss","Germany","FC Rumeln-Kaldenhausen",1995
"Bettina Wiegmann","Germany","Sportfreunde Siegen",1995
"Heidi Mohr","Germany","TuS Ahrbach",1995
"Silvia Neid","Germany","TSV Siegen",1995
"Patricia Brocker","Germany","TuS Niederkirchen",1995
"Katja Kraus","Germany","FSV Frankfurt",1995
"Melanie Hoffmann","Germany","FC Rumeln-Kaldenhausen",1995
"Sandra Minnert","Germany","FSV Frankfurt",1995
"Claudia Klein","Germany","Grün-Weiß Brauweiler",1995
"Birgit Prinz","Germany","FSV Frankfurt",1995
"Tina Wunderlich","Germany","SG Praunheim",1995
"Pia Wunderlich","Germany","SG Praunheim",1995
"Sandra Smisek","Germany","FSV Frankfurt",1995
"Christine Francke","Germany","TuS Ahrbach",1995
"Junko Ozawa","Japan","Tokyo Shidax LSC",1995
"Yumi Tomei","Japan","Yomiuri-Seiyu Beleza",1995
"Rie Yamaki","Japan","Nikko Securities Dream Ladies",1995
"Maki Haneta","Japan","Panasonic Bambina",1995
"Ryoko Uno","Japan","Yomiuri-Seiyu Beleza",1995
"Kae Nishina","Japan","Prima FC Kunoichi",1995
"Homare Sawa","Japan","Yomiuri-Seiyu Beleza",1995
"Asako Takakura","Japan","Yomiuri-Seiyu Beleza",1995
"Futaba Kioka","Japan","Suzuyo Shimizu FC",1995
"Akemi Noda","Japan","Takarazuka Bunnys",1995
"Etsuko Handa","Japan","Suzuyo Shimizu FC",1995
"Yumi Obe","Japan","Nikko Securities Dream Ladies",1995
"Kaori Nagamine","Japan","Suzuyo Shimizu FC",1995
"Kaoru Kadohara","Japan","Panasonic Bambina",1995
"Tsuru Morimoto","Japan","Nikko Securities Dream Ladies",1995
"Nami Otake","Japan","Yomiuri-Seiyu Beleza",1995
"Tamaki Uchiyama","Japan","Prima FC Kunoichi",1995
"Inesu Emiko Takeoka","Japan","Nikko Securities Dream Ladies",1995
"Shiho Onodera","Japan","Yomiuri-Seiyu Beleza",1995
"Megumi Sakata","Japan","Prima FC Kunoichi",1995
"Elisabeth Leidinge","Sweden","Malmö",1995
"Malin Lundgren","Sweden","Malmö",1995
"Åsa Jakobsson","Sweden","Gideonsbergs IF",1995
"Pia Sundhage","Sweden","Hammarby IF",1995
"Kristin Bengtsson","Sweden","Hammarby IF",1995
"Anna Pohjanen","Sweden","Sunnanå SK",1995
"Lena Videkull","Sweden","Malmö",1995
"Susanne Hedberg","Sweden","Gideonsbergs IF",1995
"Malin Andersson","Sweden","Alvsjö AIK",1995
"Anneli Andelén","Sweden","Öxabäck/Mark IF",1995
"Ulrika Kalte","Sweden","Alvsjö AIK",1995
"Annelie Nilsson","Sweden","Sunnanå SK",1995
"Annika Nessvold","Sweden","Malmö",1995
"Åsa Lönnqvist","Sweden","Tyresö FF",1995
"Anneli Olsson","Sweden","Hammarby IF",1995
"Eva Zeikfalvy","Sweden","Malmö",1995
"Malin Flink","Sweden","Gideonsbergs IF",1995
"Helen Nilsson","Sweden","Gideonsbergs IF",1995
"Anika Bozicevic","Sweden","Malmö",1995
"Sofia Johansson","Sweden","Malmö",1995
"Wendy Hawthorne","Canada","Surrey Marlins SC",1995
"Helen Stoumbos","Canada","Kitchener Spirit",1995
"Charmaine Hooper","Canada","Prima FC Kunoichi",1995
"Michelle Ring","Canada","Surrey Marlins SC",1995
"Andrea Neil","Canada","Coquitlam Strikers",1995
"Geri Donnelly","Canada","Coquitlam Strikers",1995
"Isabelle Morneau","Canada","FC Brossard",1995
"Nicole Sedgwick","Canada","Surrey Marlins SC",1995
"Janine Helland","Canada","Edmonton Angels",1995
"Veronica O'Brien","Canada","?",1995
"Annie Caron","Canada","Lakeshore United FC",1995
"Joan McEachern","Canada","Coquitlam Strikers",1995
"Angela Kelly","Canada","NC State",1995
"Cathy Ross","Canada","Coquitlam Strikers",1995
"Suzanne Muir","Canada","Coquitlam Strikers",1995
"Luce Mongrain","Canada","?",1995
"Silvana Burtini","Canada","Surrey Marlins SC",1995
"Carla Chin","Canada","Columbus Ziggs",1995
"Suzanne Gerrior","Canada","NC State",1995
"Tania Singfield","Canada","Omega",1995
"Pauline Cope","England","Arsenal Ladies",1995
"Hope Powell","England","Croydon Women",1995
"Tina Mapes","England","Croydon Women",1995
"Samantha Britton","England","Arsenal Ladies",1995
"Clare Taylor","England","Liverpool Ladies",1995
"Gillian Coultard","England","Doncaster Belles",1995
"Marieanne Spacey","England","Arsenal Ladies",1995
"Debbie Bampton","England","Croydon Women",1995
"Karen Farley","England","Hammarby IF",1995
"Karen Burke","England","Liverpool Ladies",1995
"Brenda Sempare","England","Croydon Women",1995
"Kerry Davis","England","Croydon Women",1995
"Lesley Higgs","England","Wembley Ladies",1995
"Karen Walker","England","Doncaster Belles",1995
"Sian Williams","England","Arsenal Ladies",1995
"Donna Smith","England","Croydon Women",1995
"Louise Waller","England","Millwall Lionesses",1995
"Mary Phillip","England","Millwall Lionesses",1995
"Julie Fletcher","England","Millwall Lionesses",1995
"Becky Easton","England","Liverpool Ladies",1995
